user_id	user_name	time	location	text
528997718	hannaH	Fri Sep 08 01:33:48 +0000 2017	disney	why is it that my mom has better food during the hurricane than on a normal week???
270756775	Bonita Applebum	Fri Sep 08 01:33:48 +0000 2017	Minneapolis, MN	RT @brownandbella: Uh, just don't plan your wedding in a hurricane prone area during hurricane season. How is that difficult? https://t.co/…
100787573	Briana Shelton	Fri Sep 08 01:33:48 +0000 2017		RT @jordancatchen: I'll take them all https://t.co/ARbCBHAHBO
1072000286	selina	Fri Sep 08 01:33:48 +0000 2017	austin,tx	RT @KyAkaClutch: Hurricane Irma, you're doing amazing sweetie https://t.co/Hi6jfrEEXT
43977758	Gabe A.	Fri Sep 08 01:33:47 +0000 2017	United States	EE being talked down to by mis-educated(via 3rd+ wave feminism) suffering from Dunning–Kruger effect. https://t.co/qJ1AJlbyuR
312319316	Karen	Fri Sep 08 01:33:48 +0000 2017	st. Peters, MO	RT @BillClinton: Hurricane Harvey shattered homes and lives. Irma is just as dangerous. Americans lift each other up. Join us to hel… 
326958888	Jose A. Bastidas	Fri Sep 08 01:33:48 +0000 2017	Hallandale Beach, FL	The thing is maostly worried about this hurricane is that I'm not going to have working A/C for a while ??
1890685998	?Drift Papi?	Fri Sep 08 01:33:48 +0000 2017	Florida, USA	RT @itsthatkidefren: HOLY FUCKKKK https://t.co/pZT28XKXRN
13216042	Nick Holmes	Fri Sep 08 01:33:47 +0000 2017	The shadow of your smile.	CNN has a reporter in a wind tunnel describing what people in a hurricane might feel.   What. The. Hell?
166416321	Hungry Hungri Hungrè	Fri Sep 08 01:33:48 +0000 2017		@haitiAnPhrEsh I don't wanna tear into my hurricane snacks yet ?
510843740	Justen Scroggins	Fri Sep 08 01:33:48 +0000 2017	Frolicking ?	RT @PennStateIFC: With the current devastation in Houston, we are pledging $0.15 for every RT this gets! Please forward this along to… 
522798039	Garrett Gustafson	Fri Sep 08 01:33:48 +0000 2017	Madera(middle of nowhere)Ca	"RT @juleedao_: yALL. eclipse was on the 21st, harvey began on the 25th, floods started on 26th. if you google ""21 25 26"", this com… "
275461167	Don	Fri Sep 08 01:33:48 +0000 2017	Palm Bay, FL	@ImpishMATT Saturday I get hit by a hurricane
130396137	Bethany Baptist	Fri Sep 08 01:33:48 +0000 2017	Chester Pa.	"Pray for Everyone in the Path of Hurricane Irma!
Have a safe weekend!"
468861293	Stephen L. Wakefield	Fri Sep 08 01:33:48 +0000 2017	greenville, sc	RT @georgerogers38: OK,Gamecocks,Tigers,Bulldogs,and every other mascot in the state PLEASE listen to the officials this hurricane is no jo…
67423362	Montoya ?	Fri Sep 08 01:33:48 +0000 2017	?	"#NEH Chairman’s Emergency Grants Available for Humanities Institutions Impacted by Hurricanes Harvey + Irma
Museums https://t.co/p7JHkmaCOD"
